name,ra,dec,category,artifact_type,quality_tier,is_confirmed_lens,in_dr10,has_cutout
HIP_3419_spike,10.8975,41.2692,spike,diffraction,gold,False,False,False
HIP_5447_spike,17.4329,35.6208,spike,diffraction,gold,False,False,False
HIP_8796_spike,28.2708,29.5786,spike,diffraction,gold,False,True,True
HIP_9884_spike,31.7933,23.4625,spike,diffraction,gold,False,True,True
HIP_11767_spike,37.9546,89.2641,spike,diffraction,gold,False,False,False
HIP_14576_spike,47.0422,40.9556,spike,diffraction,gold,False,False,False
HIP_21421_spike,68.9802,16.5093,spike,diffraction,gold,False,False,False
HIP_24436_spike,78.6346,-8.2016,spike,diffraction,gold,False,True,True
HIP_25336_spike,81.2829,6.3497,spike,diffraction,gold,False,False,False
HIP_27989_spike,88.7929,7.407,spike,diffraction,gold,False,False,False
HIP_30438_spike,95.988,-52.6958,spike,diffraction,gold,False,True,True
HIP_32349_spike,101.2875,-16.7161,spike,diffraction,gold,False,False,False
HIP_37279_spike,114.8254,5.225,spike,diffraction,gold,False,True,True
HIP_49669_spike,152.0929,11.9672,spike,diffraction,gold,False,True,True
HIP_57632_spike,177.2658,14.5722,spike,diffraction,gold,False,True,True
HIP_3419_ghost,10.91,41.28,ghost,scattered_light,gold,False,False,False
HIP_5447_halo,17.42,35.61,ghost,halo,gold,False,False,False
HIP_8796_ghost,28.285,29.59,ghost,scattered_light,gold,False,True,True
HIP_9884_halo,31.805,23.47,ghost,halo,gold,False,True,True
HIP_14576_ghost,47.055,40.965,ghost,scattered_light,gold,False,False,False
HIP_21421_halo,68.995,16.52,ghost,halo,gold,False,False,False
HIP_24436_ghost,78.65,-8.19,ghost,scattered_light,gold,False,True,True
HIP_25336_halo,81.295,6.36,ghost,halo,gold,False,False,False
HIP_27989_ghost,88.805,7.415,ghost,scattered_light,gold,False,False,False
HIP_37279_halo,114.84,5.235,ghost,halo,gold,False,True,True
Vega_spike,279.2347,38.7837,spike,diffraction,gold,False,True,True
Arcturus_spike,213.9154,19.1825,spike,diffraction,gold,False,True,True
Capella_spike,79.1723,45.998,spike,diffraction,gold,False,False,False
Altair_spike,297.6958,8.8683,spike,diffraction,gold,False,False,False
Spica_spike,201.2983,-11.1614,spike,diffraction,gold,False,True,True
Antares_spike,247.3519,-26.432,spike,diffraction,gold,False,False,False
Fomalhaut_spike,344.4127,-29.6222,spike,diffraction,gold,False,True,True
Pollux_spike,116.3289,28.0262,spike,diffraction,gold,False,True,True
Deneb_spike,310.358,45.2803,spike,diffraction,gold,False,False,False
Mimosa_spike,191.9303,-59.6858,spike,diffraction,gold,False,False,False
Vega_halo,279.25,38.795,ghost,halo,gold,False,True,True
Arcturus_halo,213.93,19.195,ghost,halo,gold,False,True,True
Capella_halo,79.185,46.01,ghost,halo,gold,False,False,False
Altair_halo,297.71,8.88,ghost,halo,gold,False,False,False
Spica_halo,201.31,-11.15,ghost,halo,gold,False,True,True
sat_trail_1,150.0,30.0,satellite,trail,gold,False,True,True
sat_trail_2,180.0,45.0,satellite,trail,gold,False,True,True
sat_trail_3,210.0,20.0,satellite,trail,gold,False,True,True
sat_trail_4,240.0,50.0,satellite,trail,gold,False,True,True
sat_trail_5,270.0,35.0,satellite,trail,gold,False,True,True
HIP_60718_spike,186.6496,-63.099,spike,diffraction,gold,False,False,False
HIP_62956_spike,193.5073,55.9597,spike,diffraction,gold,False,True,True
HIP_65378_spike,200.9815,54.9254,spike,diffraction,gold,False,True,True
HIP_67301_spike,206.8856,49.3133,spike,diffraction,gold,False,True,True
HIP_68756_spike,211.0972,36.3902,spike,diffraction,gold,False,True,True
HIP_69673_spike,213.9154,19.1825,spike,diffraction,gold,False,True,True
HIP_71683_spike,219.9021,-60.8339,spike,diffraction,gold,False,False,False
HIP_72607_spike,222.676,74.1555,spike,diffraction,gold,False,True,True
HIP_76267_spike,233.6719,26.7147,spike,diffraction,gold,False,True,True
HIP_77070_spike,236.0668,6.4256,spike,diffraction,gold,False,True,True
HIP_78820_spike,241.359,-19.8056,spike,diffraction,gold,False,True,True
HIP_80763_spike,247.5519,21.4897,spike,diffraction,gold,False,True,True
HIP_84345_spike,258.662,14.3902,spike,diffraction,gold,False,True,True
HIP_85670_spike,262.6912,52.3012,spike,diffraction,gold,False,True,True
HIP_86228_spike,264.3295,-43.0022,spike,diffraction,gold,False,False,False
HIP_87833_spike,269.1516,51.4889,spike,diffraction,gold,False,True,True
HIP_91262_spike,279.2347,38.7837,spike,diffraction,gold,False,True,True
HIP_92855_spike,284.0555,4.2036,spike,diffraction,gold,False,False,False
HIP_95947_spike,292.6803,27.9596,spike,diffraction,gold,False,False,False
HIP_97649_spike,297.6958,8.8683,spike,diffraction,gold,False,False,False
HIP_102098_spike,310.358,45.2803,spike,diffraction,gold,False,False,False
HIP_107315_spike,326.0464,9.875,spike,diffraction,gold,False,True,True
HIP_109268_spike,332.0582,-0.3199,spike,diffraction,gold,False,True,True
HIP_112158_spike,340.6658,-46.9611,spike,diffraction,gold,False,True,True
HIP_113368_spike,344.4127,10.8314,spike,diffraction,gold,False,True,True
HIP_62956_halo,193.52,55.97,ghost,halo,gold,False,True,True
HIP_67301_halo,206.9,49.325,ghost,halo,gold,False,True,True
HIP_76267_halo,233.685,26.725,ghost,halo,gold,False,True,True
HIP_84345_halo,258.675,14.4,ghost,halo,gold,False,True,True
HIP_92855_halo,284.07,4.215,ghost,halo,gold,False,False,False
HIP_107315_halo,326.06,9.885,ghost,halo,gold,False,True,True
HIP_113368_halo,344.425,10.842,ghost,halo,gold,False,True,True
