brickname,lrg_count
1977m155,8
1976m262,7
1986p000,7
1963p197,4
1976p197,7
1989p197,5
1994p255,3
2175p230,6
2190p260,2
2162p332,6
2219m307,6
2324m162,6
2331m162,9
2311m295,16
2325m295,15
2337m290,23
2820m530,55
3020m645,5
3001m772,14
3190p047,9
3151p120,6
3187p125,10
3153p162,2
3380p105,7
3408m022,4
0013m635,5
0216m127,2
0244m152,11
0201m277,6
0209m257,4
0406m040,5
0415m085,9
0412m052,2
0440m345,3
0447m310,4
0402m347,3
2950m467,9
3376m795,4
3378p005,1
0112m617,5
0149p070,9
0430p085,10
0792m487,14
0962m330,1
1458p040,14
1731m010,5
1750m110,7
1720m102,1
1729m402,14
0878m592,7
1295p267,15
1681p022,5
1699p100,5
2223p020,8
2247p117,4
2292m122,5
2276m172,5
2281m237,10
2376p017,14
2717p292,12
3170m052,12
1903p025,4
1900p310,7
3270m045,4
3286m002,3
3257m055,5
3257m082,6
3488p175,6
3504m107,3
0001m250,10
0015m250,8
0050m307,8
0001m387,5
0029m447,6
0609m775,3
1210p032,2
1236p335,10
1232p307,5
1625m155,11
2347p050,10
2399m062,15
3063m712,5
3541p282,23
0224m702,4
0289p310,7
0344m080,2
0337m345,3
0522m482,6
0526m457,7
0519m667,7
0947m307,2
0927m537,13
1193p270,7
1185p285,6
1898m257,3
1903m010,4
1726p342,4
1754m375,15
2365p152,4
3532p340,5
0030p187,8
0034p237,7
0358m500,6
0452m407,4
0454m652,4
1048m720,8
1410m202,6
1422m217,1
1447p057,7
1811p160,9
1859m107,5
1930m250,9
2263p020,19
2278p145,5
2052p312,4
2120m092,14
2135m135,10
2141m325,11
2115m307,10
2429p260,9
2631p137,20
2648p267,7
2486p060,7
2999m495,41
3161m450,6
3174m510,7
3197m707,3
3174m767,14
3190m857,32
3408p315,7
3127m407,11
3236p025,9
3241p217,7
3480m490,11
3487m490,10
3493m630,8
0281m760,9
0285p285,4
0337m530,3
0653m087,7
0692m385,2
0688m410,5
0656m407,7
0671m402,7
0761m117,11
0785m160,10
0785m262,25
1614p070,3
1633p117,10
1623p102,4
1612p180,5
0097m365,7
0213p332,2
0271m005,9
0262m132,4
0669m555,8
0711m445,24
0722m517,7
1308p007,5
1333p192,30
1329p155,7
1364m060,8
2021p002,10
2040p217,3
2020p210,6
2055m135,5
2138p097,8
2136p295,6
2184m035,7
2187m057,6
2196m385,6
2549p160,11
2973m585,4
3146p105,13
3133p110,11
3393m030,9
3427p077,4
3411p135,9
3439p130,7
0111p222,16
0177m085,2
0551m215,3
0599m417,2
0641m010,10
0617m100,8
0648m167,3
2409p067,10
1809m200,8
2001m275,30
2033m382,12
3037m405,7
3009m432,9
3053m445,7
3064m455,10
3274p092,10
3261p245,8
3267p272,10
3275p262,4
3348m122,5
0091m815,5
0085p122,11
0197p147,2
0186p287,6
0421m492,1
0444m522,5
0516m035,7
0516m022,6
0536m097,3
0525m112,5
0542m142,8
1278p155,5
1290p185,6
