region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
0,0001p202,0.1329394387001477,20.25,0.0623612653258006,2361,15,27,81,172,302
1,0001p257,0.1384615384615385,25.75,0.0623559824876638,2445,15,32,89,206,338
1,0001p260,0.1388888888888889,26.0,0.0624162037020059,2272,27,45,126,244,399
1,3598p260,359.8611111111111,26.0,0.0624162037020123,2481,11,22,107,200,376
1,3598p257,359.8615384615385,25.75,0.0623559824876489,2586,10,21,92,198,332
2,0001p327,0.1482701812191104,32.75,0.0623504539712355,2280,8,24,116,235,377
3,0003m060,0.3765690376569037,-6.0,0.0624176426635811,3428,35,55,128,230,404
3,0006m060,0.6276150627615062,-6.0,0.062417642663567,3898,36,63,159,313,505
4,0003m147,0.3873744619799139,-14.75,0.0624347671881681,758,14,27,42,96,147
5,0005m770,0.5487804878048781,-77.0,0.0617243257031648,4044,12,30,111,217,399
6,0011m105,1.142454160789845,-10.5,0.0624068205088684,2638,19,43,126,265,454
7,0012p267,1.25776397515528,26.75,0.0623975474790685,2083,12,27,130,268,433
7,0015p270,1.539657853810264,27.0,0.0623565502051457,2249,13,23,79,166,307
7,0015p272,1.544461778471139,27.25,0.0624114502828516,1998,15,32,98,176,318
8,0013m057,1.380753138075314,-5.75,0.062445673366197,3665,10,24,84,185,298
9,0014p135,1.412268188302425,13.5,0.062420273476275,2386,8,23,94,248,441
10,0015p282,1.559055118110236,28.25,0.0624252783839062,1750,11,23,88,188,338
11,0016m107,1.652542372881356,-10.75,0.0624438316762358,2598,8,21,118,261,441
12,0016m325,1.625615763546798,-32.5,0.0623195155250258,4050,16,33,87,199,377
12,0016m327,1.630971993410214,-32.75,0.0623504539712235,5099,16,29,119,217,402
13,0017m255,1.797235023041475,-25.5,0.0623906383653518,3100,15,36,103,227,441
14,0018m862,1.836734693877551,-86.25,0.0600640506252916,3458,18,44,124,282,449
15,0018p012,1.875,1.25,0.0624850771246465,4738,9,24,90,224,435
16,0020m392,2.093023255813954,-39.25,0.0623392510553361,7643,12,20,96,200,362
17,0021m025,2.125,-2.5,0.0624404643164086,4185,9,26,101,237,433
18,0022m222,2.293853073463268,-22.25,0.0624427131056184,2463,13,26,101,221,382
19,0026p252,2.622699386503068,25.25,0.0624240019306758,2301,15,32,112,224,368
20,0026p285,2.697160883280757,28.5,0.0623765594611162,2256,10,27,90,204,345
20,0027p287,2.705696202531646,28.75,0.062425115047498,2161,8,29,87,190,342
21,0028m245,2.88109756097561,-24.5,0.0624210742473164,2564,10,29,80,165,303
22,0028m722,2.850678733031674,-72.25,0.0620763917349077,4153,10,22,118,226,412
23,0028p322,2.80327868852459,32.25,0.0623897078466315,1753,23,46,96,180,317
24,0031m110,3.177966101694915,-11.0,0.0623915087763542,2925,9,23,123,287,505
25,0031p022,3.125,2.25,0.0624517652236228,4708,16,28,128,259,439
26,0031p087,3.160112359550562,8.75,0.0624666189454628,2740,5,21,123,256,439
27,0031p225,3.108108108108108,22.5,0.0624242432176575,2376,16,39,137,280,490
28,0033m232,3.393665158371041,-23.25,0.0623613448843002,2850,9,24,108,266,433
29,0033m377,3.309982486865149,-37.75,0.0623134896549082,5880,9,21,103,229,413
30,0034m260,3.472222222222222,-26.0,0.062416203702006,2876,16,36,123,310,536
30,0034m262,3.477588871715611,-26.25,0.0623790438222495,2924,9,27,103,248,465
31,0035p200,3.584070796460177,20.0,0.062368929779992,2592,5,20,90,220,390
31,0035p202,3.589364844903988,20.25,0.0623612653258141,1807,21,42,97,217,398
32,0036m077,3.655462184873949,-7.75,0.062449481808303,2290,23,45,149,308,496
