region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
0,0001m415,0.166358595194085,-41.5,0.0622975613674185,4540,10,14,105,214,379
1,0001p202,0.1329394387001477,20.25,0.0623612653258006,2361,15,27,81,172,302
2,0001p257,0.1384615384615385,25.75,0.0623559824876638,2445,15,32,89,206,338
2,0001p260,0.1388888888888889,26.0,0.0624162037020059,2272,27,45,126,244,399
2,3598p260,359.8611111111111,26.0,0.0624162037020123,2481,11,22,107,200,376
2,3598p257,359.8615384615385,25.75,0.0623559824876489,2586,10,21,92,198,332
3,0003m060,0.3765690376569037,-6.0,0.0624176426635811,3428,35,55,128,230,404
3,0006m060,0.6276150627615062,-6.0,0.062417642663567,3898,36,63,159,313,505
4,0003m147,0.3873744619799139,-14.75,0.0624347671881681,758,14,27,42,96,147
5,0005m770,0.5487804878048781,-77.0,0.0617243257031648,4044,12,30,111,217,399
6,0008m397,0.8108108108108109,-39.75,0.0623384774733204,5938,10,13,98,225,370
7,0011m105,1.142454160789845,-10.5,0.0624068205088684,2638,19,43,126,265,454
8,0012p267,1.25776397515528,26.75,0.0623975474790685,2083,12,27,130,268,433
8,0015p270,1.539657853810264,27.0,0.0623565502051457,2249,13,23,79,166,307
8,0015p272,1.544461778471139,27.25,0.0624114502828516,1998,15,32,98,176,318
9,0015p282,1.559055118110236,28.25,0.0624252783839062,1750,11,23,88,188,338
10,0016m325,1.625615763546798,-32.5,0.0623195155250258,4050,16,33,87,199,377
10,0016m327,1.630971993410214,-32.75,0.0623504539712235,5099,16,29,119,217,402
11,0017m255,1.797235023041475,-25.5,0.0623906383653518,3100,15,36,103,227,441
12,0018m862,1.836734693877551,-86.25,0.0600640506252916,3458,18,44,124,282,449
13,0020m260,2.083333333333333,-26.0,0.0624162037020059,2785,10,20,106,237,416
14,0020m392,2.093023255813954,-39.25,0.0623392510553361,7643,12,20,96,200,362
15,0022m222,2.293853073463268,-22.25,0.0624427131056184,2463,13,26,101,221,382
16,0025p322,2.508196721311475,32.25,0.0623897078466191,2176,10,15,93,203,352
16,0028p322,2.80327868852459,32.25,0.0623897078466315,1753,23,46,96,180,317
17,0026p252,2.622699386503068,25.25,0.0624240019306758,2301,15,32,112,224,368
18,0026p285,2.697160883280757,28.5,0.0623765594611162,2256,10,27,90,204,345
19,0028m245,2.88109756097561,-24.5,0.0624210742473164,2564,10,29,80,165,303
20,0028m422,2.85981308411215,-42.25,0.0622612884356648,6521,10,17,91,211,390
21,0028m722,2.850678733031674,-72.25,0.0620763917349077,4153,10,22,118,226,412
22,0031p022,3.125,2.25,0.0624517652236228,4708,16,28,128,259,439
23,0031p225,3.108108108108108,22.5,0.0624242432176575,2376,16,39,137,280,490
24,0031p235,3.131618759455371,23.5,0.06243217944133,2111,10,19,96,201,340
25,0034m260,3.472222222222222,-26.0,0.062416203702006,2876,16,36,123,310,536
26,0035p202,3.589364844903988,20.25,0.0623612653258141,1807,21,42,97,217,398
27,0036m077,3.655462184873949,-7.75,0.062449481808303,2290,23,45,149,308,496
28,0036m320,3.676470588235294,-32.0,0.0623564281927706,5453,83,116,207,357,602
28,0039m320,3.970588235294118,-32.0,0.0623564281927705,6120,151,218,297,484,785
29,0036m390,3.689839572192513,-39.0,0.0623378618957596,5993,10,24,180,366,576
29,0037m392,3.70304114490161,-39.25,0.0623392510553361,8027,23,61,217,421,826
30,0036p315,3.658536585365854,31.5,0.0623882552177986,1954,12,23,117,220,359
31,0038m030,3.875,-3.0,0.0624142964104617,3377,11,21,86,169,308
32,0038m350,3.807106598984772,-35.0,0.062371933589606,5308,14,21,110,236,414
33,0039m485,3.945720250521921,-48.5,0.0622502683004805,5267,19,34,132,281,487
34,0039p227,3.924812030075188,22.75,0.062404527526377,1960,12,25,105,237,427
35,0040m392,4.025044722719142,-39.25,0.0623392510553474,7351,10,35,142,300,568
36,0040m740,4.05,-74.0,0.0620183558612167,9647,14,27,183,350,634
37,0040p332,4.029850746268656,33.25,0.0624093651077078,2250,11,20,100,243,439
38,0041m850,4.153846153846154,-85.0,0.060338543267932,3434,15,33,135,320,519
39,0041p017,4.125,1.75,0.0624707998707726,3969,23,40,119,228,382
39,0041p020,4.125,2.0,0.0624618771392499,4299,13,24,101,259,423
40,0041p102,4.188998589562765,10.25,0.0624566943109199,2205,34,64,148,281,472
41,0042p120,4.212765957446808,12.0,0.0624349037102802,2527,10,15,77,190,346
42,0043p202,4.387001477104874,20.25,0.0623612653258005,2206,19,35,129,266,413
43,0047p127,4.736842105263158,12.75,0.0624329581874059,2108,21,36,107,205,332
44,0048m465,4.889336016096579,-46.5,0.0623258175730178,5400,12,34,108,246,496
45,0048m505,4.891304347826087,-50.5,0.0622249939265093,6519,15,24,78,196,367
46,0048m735,4.805825242718447,-73.5,0.0620421377334134,11617,17,32,149,361,744
46,0048m737,4.876847290640394,-73.75,0.0620310130159663,11025,14,40,166,425,837
47,0049p282,4.960629921259843,28.25,0.0624252783839063,2356,10,15,115,268,452
