region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
1093,1,0.0624338284246973,3595,203.2867132867133,-7.25,1.472363,24.203749,0.035188287,False,127,2034.1536504233,190,3043.2219966962753,274,4388.646458393576,464,7431.8684550898515,688,11019.667019615987
28,2,0.1247128563855411,11573,3.8235294117647056,-32.0,1.0371644999999998,25.18686,0.014434579,False,234,1876.31016385837,334,2678.152114225195,504,4041.2834298487974,841,6743.490802584997,1387,11121.54785158786
2046,2,0.1247580876444614,4816,349.98454404945903,26.25,1.2835609,24.2799835,0.085506585,False,197,1579.0559451457395,298,2388.6226987483774,455,3647.058147417825,798,6396.378904702031,1214,9730.83206805547
504,1,0.0624344181520105,2557,76.48122392211404,-4.0,1.1945326,23.620756,0.19323263,False,89,1425.4957863675397,132,2114.2184696687104,263,4212.420132749022,416,6662.991540774118,590,9449.9158871556
1943,1,0.0624210742473185,2582,338.4603658536585,24.5,2.0040545,23.896513,0.04398174,False,87,1393.7600569848792,152,2435.0750420885242,237,3796.7946379932914,450,7209.103743025236,734,11758.849216401164
2024,1,0.0624068205088622,2511,346.6713681241185,10.5,1.8811544,24.136776,0.05093031,False,80,1281.9111652810361,126,2019.0100853176318,188,3012.4912384104346,335,5368.003004614338,565,9053.497604797318
1512,1,0.062387039771275,3166,262.5218658892128,18.0,1.3458279,24.37473,0.058583606,False,78,1250.2596738996697,116,1859.3605406713034,195,3125.649184749174,367,5882.6320553997275,578,9264.744763000115
999,1,0.0623796929338717,3493,189.2877906976744,-17.5,1.0225111,24.323174,0.04012763,False,74,1186.2834925854302,109,1747.3635228623227,194,3109.9864535347765,358,5739.047166832216,557,8929.187910406548
2072,1,0.0624242432176639,1779,353.3783783783784,22.5,1.4929954,24.076496,0.06282273,False,74,1185.4368781368032,122,1954.3689071985134,227,3636.4077207710043,410,6567.961081568775,613,9819.902787808924
162,1,0.0623195155250387,3797,21.72413793103448,-32.5,1.2508272,24.907206,0.029098898,False,66,1059.058297291842,120,1925.560540530622,202,3241.360243226547,362,5808.774297267376,604,9691.98805400413
864,2,0.1248223834747645,4888,162.85714285714283,-21.249999999999996,1.462253,24.093448000000002,0.0564172215,False,125,1001.4229541232195,204,1634.3222611290942,331,2651.7679825182854,626,5015.126154249083,1011,8099.508852948599
1922,1,0.062336465372985,2262,336.4147909967846,30.5,1.4355913,24.24649,0.0635943,False,62,994.6024310013122,106,1700.4493175183725,191,3064.0171664717845,357,5726.98496560433,531,8518.288562285432
1701,1,0.0623283083925731,5155,307.3770491803278,-40.5,1.3350757,25.690117,0.0472588,False,60,962.6444475613182,85,1363.7463007118674,171,2743.5366755497566,299,4797.178163680569,502,8054.125211263028
372,1,0.0623826816764243,1388,49.83582089552239,-21.75,1.1813078,24.977688,0.02551239,False,57,913.7151284334972,84,1346.5275576914696,153,2452.6037657951765,248,3975.4623131843387,345,5530.381040518536
1835,1,0.0624329581873874,3842,326.330014224751,12.75,1.589351,24.600847,0.11762821,False,57,912.9793246208064,88,1409.5119397654557,182,2915.1269663331013,346,5541.944672259632,568,9097.758883940669
1923,1,0.0622502683004919,5876,336.5135699373695,-48.5,1.3946629,25.052086,0.012627705,False,56,899.5945162786951,91,1461.8410889528795,208,3341.351060463725,378,6072.262984881192,618,9927.668054647029
237,1,0.0624494818083029,2221,30.63025210084034,7.749999999999999,1.3978196,24.289034,0.089201495,False,56,896.7248146573826,101,1617.307255007065,186,2978.4074201120206,334,5348.323001706532,527,8438.821023650726
1741,1,0.0620212540470841,3502,314.3959731543624,-65.75,1.7739718,24.803364,0.036137573,False,55,886.7927752355049,76,1225.386380325425,147,2370.1552356294405,268,4321.099341147551,430,6933.10715184122
616,1,0.061768621012343,3425,106.056338028169,-73.0,1.1361889,24.798433,0.17213553,False,54,874.2302987338729,85,1376.1032480070223,168,2719.827596060938,309,5002.540042754939,483,7819.504338675197
1352,1,0.0624707998707813,2205,235.875,-1.75,1.4014904,24.318283,0.13832183,False,54,864.403851266466,89,1424.665606716953,147,2353.099372892046,269,4306.011777605173,459,7347.432735764961
419,1,0.062406990321779,5384,61.0806916426513,-15.75,1.2435533,25.302755,0.03785347,False,53,849.2638360979232,99,1586.360750447064,198,3172.721500894128,373,5976.894544613686,585,9373.949889005378
785,3,0.18734565140307952,5679,146.82872768677365,11.416696531088572,1.2567577,24.15328,0.027795646,False,158,843.3609150609987,230,1227.6772814179094,376,2006.985468752756,679,3624.316843838089,1020,5444.481856722902
532,1,0.0622505102629255,5269,83.9423076923077,-44.0,1.2093036,25.303576,0.03718686,False,51,819.2703928785952,66,1060.2322731370057,110,1767.053788561676,213,3421.6586996694273,391,6281.07301206923
2127,1,0.0623394590798955,6039,359.8384201077199,-39.5,1.305851,25.001505,0.011751047,False,51,818.1014200754835,68,1090.801893433978,130,2085.3565609767224,229,3673.435788182073,409,6560.852564919073
