region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
1386,1,0.0624338284246973,3595,203.2867132867133,-7.25,1.472363,24.203749,0.035188287,False,127,2034.1536504233,190,3043.2219966962753,274,4388.646458393576,464,7431.8684550898515,688,11019.667019615987
33,2,0.1247128563855411,11573,3.8235294117647056,-32.0,1.0371644999999998,25.18686,0.014434579,False,234,1876.31016385837,334,2678.152114225195,504,4041.2834298487974,841,6743.490802584997,1387,11121.54785158786
2577,2,0.1247580876444614,4816,349.98454404945903,26.25,1.2835609,24.2799835,0.085506585,False,197,1579.0559451457395,298,2388.6226987483774,455,3647.058147417825,798,6396.378904702031,1214,9730.83206805547
636,1,0.0624344181520105,2557,76.48122392211404,-4.0,1.1945326,23.620756,0.19323263,False,89,1425.4957863675397,132,2114.2184696687104,263,4212.420132749022,416,6662.991540774118,590,9449.9158871556
2548,1,0.0624068205088622,2511,346.6713681241185,10.5,1.8811544,24.136776,0.05093031,False,80,1281.9111652810361,126,2019.0100853176318,188,3012.4912384104346,335,5368.003004614338,565,9053.497604797318
2616,1,0.0624242432176639,1779,353.3783783783784,22.5,1.4929954,24.076496,0.06282273,False,74,1185.4368781368032,122,1954.3689071985134,227,3636.4077207710043,410,6567.961081568775,613,9819.902787808924
1905,1,0.062387039771275,3166,262.5218658892128,18.0,1.3458279,24.37473,0.058583606,False,78,1250.2596738996697,116,1859.3605406713034,195,3125.649184749174,367,5882.6320553997275,578,9264.744763000115
2428,1,0.062336465372985,2262,336.4147909967846,30.5,1.4355913,24.24649,0.0635943,False,62,994.6024310013122,106,1700.4493175183725,191,3064.0171664717845,357,5726.98496560433,531,8518.288562285432
1099,2,0.1248223834747645,4888,162.85714285714283,-21.249999999999996,1.462253,24.093448000000002,0.0564172215,False,125,1001.4229541232195,204,1634.3222611290942,331,2651.7679825182854,626,5015.126154249083,1011,8099.508852948599
289,1,0.0624494818083029,2221,30.63025210084034,7.749999999999999,1.3978196,24.289034,0.089201495,False,56,896.7248146573826,101,1617.307255007065,186,2978.4074201120206,334,5348.323001706532,527,8438.821023650726
514,1,0.062406990321779,5384,61.0806916426513,-15.75,1.2435533,25.302755,0.03785347,False,53,849.2638360979232,99,1586.360750447064,198,3172.721500894128,373,5976.894544613686,585,9373.949889005378
379,1,0.0623565502051461,4961,39.33125972006221,-27.0,1.2453055,25.193012,0.016480114,False,50,801.8403814115048,92,1475.386301797169,144,2309.300298465134,276,4426.158905391507,490,7858.035737832748
2111,1,0.0623636350330958,3246,301.9736842105263,-42.5,1.5201987,24.502384,0.056442533,False,49,785.7143024776564,92,1475.218690366212,176,2822.157494613623,342,5483.965131578744,589,9444.606615496727
2429,1,0.0622502683004919,5876,336.5135699373695,-48.5,1.3946629,25.052086,0.012627705,False,56,899.5945162786951,91,1461.8410889528795,208,3341.351060463725,378,6072.262984881192,618,9927.668054647029
1702,1,0.0624707998707813,2205,235.875,-1.75,1.4014904,24.318283,0.13832183,False,54,864.403851266466,89,1424.665606716953,147,2353.099372892046,269,4306.011777605173,459,7347.432735764961
2320,1,0.0624329581873874,3842,326.330014224751,12.75,1.589351,24.600847,0.11762821,False,57,912.9793246208064,88,1409.5119397654557,182,2915.1269663331013,346,5541.944672259632,568,9097.758883940669
2562,1,0.0624355513267776,2248,347.8412256267409,5.0,1.6984255,24.266209,0.07928961,False,47,752.7762468855218,88,1409.4533984239556,214,3427.5344007128015,391,6262.457713451894,625,10010.322431988321
2451,2,0.1248125405127158,4891,338.44392728532057,24.62497034754901,2.0078217499999997,23.906093499999997,0.04447809,False,95,761.1414655110035,173,1386.0786687726695,352,2820.2294301039287,687,5504.25459795852,1162,9309.961925513537
770,1,0.061768621012343,3425,106.056338028169,-73.0,1.1361889,24.798433,0.17213553,False,54,874.2302987338729,85,1376.1032480070223,168,2719.827596060938,309,5002.540042754939,483,7819.504338675197
2139,1,0.0623283083925731,5155,307.3770491803278,-40.5,1.3350757,25.690117,0.0472588,False,60,962.6444475613182,85,1363.7463007118674,171,2743.5366755497566,299,4797.178163680569,502,8054.125211263028
1247,1,0.0624945958979791,5463,186.375,0.75,1.1960847,25.627996,0.025077254,False,40,640.0553427899433,85,1360.1176034286295,163,2608.2255218690193,293,4688.405385936335,493,7888.682099886051
449,1,0.0623826816764243,1388,49.83582089552239,-21.75,1.1813078,24.977688,0.02551239,False,57,913.7151284334972,84,1346.5275576914696,153,2452.6037657951765,248,3975.4623131843387,345,5530.381040518536
1233,1,0.0623846875421419,2916,184.8898678414097,-19.25,1.010867,24.31968,0.05567901,False,46,737.3604294952383,79,1266.3363897853008,178,2853.2642706554875,336,5385.937050226089,571,9152.887070473502
2201,1,0.0620212540470841,3502,314.3959731543624,-65.75,1.7739718,24.803364,0.036137573,False,55,886.7927752355049,76,1225.386380325425,147,2370.1552356294405,268,4321.099341147551,430,6933.10715184122
395,1,0.0623014552073941,4369,41.1611374407583,-54.25,1.2658703,25.101402,0.044909753,False,41,658.0905672831541,76,1219.8751978907246,115,1845.8637862820176,249,3996.6963720367166,421,6757.466556736777
807,1,0.062130103617694,2244,112.361963190184,-63.25,1.2577231,24.312286,0.16128622,False,36,579.4292605967516,75,1207.1442929098994,180,2897.1463029837582,340,5472.3874611915435,523,8417.819535891698
2261,1,0.062052809613644,2911,320.9163346613546,-69.75,1.3580012,24.993265,0.03866159,False,37,596.2663130061486,74,1192.5326260122972,155,2497.872392323055,301,4850.707032833804,503,8105.998795732236
1985,1,0.0623221820349899,1187,275.1302931596091,31.75,2.0066082,23.485195,0.09267113,False,33,529.5064922706432,74,1187.3781947887153,143,2294.5281331727874,249,3995.3671689512175,400,6418.260512371434
1003,2,0.1247921136286946,4224,146.92307692307688,13.25,1.21343695,24.2505645,0.045175863499999996,False,88,705.1727664605029,148,1185.9723799563003,230,1843.0651850672234,423,3389.637275145372,698,5593.302170334443
166,1,0.0623559824876632,1979,18.96923076923077,25.75,1.5007616,24.319754,0.10690789,False,35,561.2933772140398,73,1170.6976153321402,154,2469.690859741775,288,4618.642646789814,447,7168.518274705023
1822,1,0.0624653405514318,3025,249.656652360515,13.999999999999998,1.3988401,24.283798,0.060562577,False,48,768.4261316157952,73,1168.6480751656886,170,2721.5092161392745,320,5122.840877438634,538,8612.776225193704
624,1,0.0609251242715637,3333,74.1891891891892,-84.25,1.5715591,24.65987,0.16310333,False,43,705.784362594561,71,1165.3648777724145,134,2199.4210369225852,295,4842.008999195244,550,9027.474405279268
1643,2,0.1247880900953106,5571,231.06097053583682,-22.874978999440756,1.7218616999999998,24.197792,0.15442082499999998,False,86,689.1683327656907,144,1153.956278119296,286,2291.885385709157,550,4407.471895594534,909,7284.349005628056
881,2,0.1248073974858069,5413,124.16430594900851,11.750000000000002,1.1476053,24.342222,0.0275031645,False,83,665.0246834081992,142,1137.7530728188467,277,2219.4197265550742,553,4430.827107526917,964,7723.901142234988
196,2,0.12466996949627521,8171,21.75993616670745,-32.625031020347485,1.2542059,24.923710999999997,0.0276478695,False,72,577.5248064222167,140,1122.9649013765325,297,2382.289826491644,573,4596.134917776808,998,8005.135511241281
584,1,0.0624999504203529,2905,68.375,0.0,1.413357,24.48802,0.061567962,False,44,704.000558465588,70,1120.000888467981,132,2112.001675396764,255,4080.0032365619304,426,6816.005406962284
2098,1,0.062173996419649,2792,299.9109792284867,-62.25,1.6155404,24.435497,0.051258612,False,31,498.60072997017437,69,1109.7887215465173,154,2476.919755335705,308,4953.83951067141,524,8427.960725947463
2687,1,0.0623394590798955,6039,359.8384201077199,-39.5,1.305851,25.001505,0.011751047,False,51,818.1014200754835,68,1090.801893433978,130,2085.3565609767224,229,3673.435788182073,409,6560.852564919073
461,1,0.0617943120008002,1208,53.47058823529412,-76.5,1.5026262,23.546822,0.14751229,False,45,728.2223645344135,67,1084.2421871956822,115,1861.0127093657231,184,2977.620334985157,286,4628.257694596494
1788,1,0.0613000823227926,3152,244.8305084745763,-80.75,1.4646963,24.147972,0.24287926,False,30,489.3957538592962,66,1076.6706584904516,190,3099.506441108876,304,4959.2103057742015,470,7667.2001437956405
366,1,0.0622088968072005,3974,37.53886010362694,-57.75,1.2316465,24.965473,0.038721647,False,35,562.6204899352732,66,1060.9414953065152,150,2411.230671151171,292,4693.862373174279,505,8117.809926208943
676,1,0.0622505102629255,5269,83.9423076923077,-44.0,1.2093036,25.303576,0.03718686,False,51,819.2703928785952,66,1060.2322731370057,110,1767.053788561676,213,3421.6586996694273,391,6281.07301206923
958,1,0.0623960568143535,3098,137.051282051282,13.25,1.376822,24.227562,0.056552492,False,32,512.852921062133,66,1057.7591496906493,187,2996.9842574568397,377,6042.048476263254,627,10048.711922061168
