region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
1635,1,0.0624338284246973,3595,203.2867132867133,-7.25,1.472363,24.203749,0.035188287,False,127,2034.1536504233,190,3043.2219966962753,274,4388.646458393576,464,7431.8684550898515,688,11019.667019615987
25,2,0.1247128563855411,11573,3.8235294117647056,-32.0,1.0371644999999998,25.18686,0.014434579,False,234,1876.31016385837,334,2678.152114225195,504,4041.2834298487974,841,6743.490802584997,1387,11121.54785158786
1283,1,0.0588779040669423,5175,159.75,-87.0,1.2986993,25.241602,0.3000328,False,31,526.5133073479312,57,968.1051135107122,229,3889.404754279879,373,6335.143988412205,576,9782.956936529303
2179,1,0.0617726473422354,4517,297.1942446043166,-79.0,1.5361282,24.901577,0.48532504,False,23,372.33307927656784,43,696.1009742996703,240,3885.2147402772293,378,6119.2132159366365,528,8547.472428609904
1638,1,0.060338543267931,5874,203.5384615384615,-85.0,1.3215595,25.275742,0.29700086,False,9,149.1583905172494,28,464.0483260536647,232,3844.9718444446503,391,6480.1034102493895,570,9446.69806609246
1629,1,0.0605524937277699,5412,202.5,-84.75,1.3097165,25.320103,0.3504,False,19,313.777333191588,32,528.4670874805693,232,3831.3863842341275,361,5961.7693306401725,506,8356.385820786501
2487,1,0.0624210742473185,2582,338.4603658536585,24.5,2.0040545,23.896513,0.04398174,False,87,1393.7600569848792,152,2435.0750420885242,237,3796.7946379932914,450,7209.103743025236,734,11758.849216401164
319,1,0.0610639688832804,5075,28.06451612903226,-82.75,1.3240547,24.8944,0.15393505,False,3,49.12880795112245,10,163.76269317040817,228,3733.789404285306,428,7009.043267693469,646,10579.069978808368
2587,2,0.1247580876444614,4816,349.98454404945903,26.25,1.2835609,24.2799835,0.085506585,False,197,1579.0559451457395,298,2388.6226987483774,455,3647.058147417825,798,6396.378904702031,1214,9730.83206805547
755,1,0.0623896646661537,5746,70.13157894736842,-18.5,1.1266253,25.145123,0.047417432,False,1,16.02829579788555,12,192.33954957462663,227,3638.42314612002,457,7324.931179633697,705,11299.948537509314
2619,1,0.0624242432176639,1779,353.3783783783784,22.5,1.4929954,24.076496,0.06282273,False,74,1185.4368781368032,122,1954.3689071985134,227,3636.4077207710043,410,6567.961081568775,613,9819.902787808924
771,1,0.0623933497273629,5446,71.71875,-37.0,1.3080143,25.257576,0.010247966,False,2,32.05469827696862,6,96.16409483090585,224,3590.1262070204853,461,7388.6079528412665,685,10978.734159861751
2568,1,0.0624355513267776,2248,347.8412256267409,5.0,1.6984255,24.266209,0.07928961,False,47,752.7762468855218,88,1409.4533984239556,214,3427.5344007128015,391,6262.457713451894,625,10010.322431988321
2514,1,0.062497570613761,6833,342.375,-0.5,1.2274145,25.088161,0.09507654,False,6,96.00373168231427,13,208.0080853116809,213,3408.1324747221565,389,6224.241937403374,624,9984.388094960683
1330,1,0.0588779040669423,5293,164.25,-87.0,1.2803152,25.384583,0.3322724,False,21,356.6703049776308,39,662.3877092441716,199,3379.875747168978,299,5078.305770871982,446,7574.997905715397
2469,1,0.0622502683004919,5876,336.5135699373695,-48.5,1.3946629,25.052086,0.012627705,False,56,899.5945162786951,91,1461.8410889528795,208,3341.351060463725,378,6072.262984881192,618,9927.668054647029
13,1,0.0624068205088684,3887,1.650211565585332,-10.5,1.3418132,24.313662,0.04335966,False,3,48.071668698034074,12,192.2866747921363,205,3284.8973610323283,398,6377.50804727252,596,9550.23818134277
248,1,0.0623195155250387,3797,21.72413793103448,-32.5,1.2508272,24.907206,0.029098898,False,66,1059.058297291842,120,1925.560540530622,202,3241.360243226547,362,5808.774297267376,604,9691.98805400413
2172,2,0.1234901102979703,8579,295.854072263878,-79.12494414088468,1.53127085,24.915765,0.46410619,False,48,388.69509375431284,85,688.3142285232623,399,3231.0279668327253,609,4931.569002007845,912,7385.206781331944
818,2,0.1248688363040242,5042,76.35605006954103,-4.0,1.20325335,23.600941499999998,0.178765565,False,97,776.8151195373472,145,1161.218477658921,399,3195.3529143855826,677,5421.689030173031,1010,8088.48732714145
2031,1,0.0607951573543594,4713,251.3793103448276,-83.25,1.924755,24.93038,0.15301608,False,21,345.4222493018051,47,773.0878912945161,194,3191.0436364071516,406,6678.163486501565,638,10494.256907359602
26,2,0.12467711295109571,14020,3.6964404320934032,-39.1250013927572,1.1697369499999999,25.0684545,0.013581368,False,33,264.68370351937943,85,681.7610545196137,397,3184.2251605210195,787,6312.305293022777,1402,11245.047040429394
669,1,0.062406990321779,5384,61.0806916426513,-15.75,1.2435533,25.302755,0.03785347,False,53,849.2638360979232,99,1586.360750447064,198,3172.721500894128,373,5976.894544613686,585,9373.949889005378
2085,1,0.062387039771275,3166,262.5218658892128,18.0,1.3458279,24.37473,0.058583606,False,78,1250.2596738996697,116,1859.3605406713034,195,3125.649184749174,367,5882.6320553997275,578,9264.744763000115
2116,1,0.0615999204700693,3973,274.6451612903226,-77.75,1.794334,24.813618,0.20046908,False,29,470.779828589077,57,925.3258699854272,192,3116.8871410035445,367,5957.799899730733,589,9561.700656516081
1520,1,0.0623796929338717,3493,189.2877906976744,-17.5,1.0225111,24.323174,0.04012763,False,74,1186.2834925854302,109,1747.3635228623227,194,3109.9864535347765,358,5739.047166832216,557,8929.187910406548
815,1,0.0624147743119549,2707,75.73018080667593,-4.25,1.7112393,24.026817,0.091688186,False,9,144.19662810951067,29,464.63357946397883,194,3108.238428138341,333,5335.275240051895,548,8779.972467112428
2441,2,0.1245747164580975,11251,334.8181148538693,-45.37509315729789,1.3992931,25.0592555,0.015373917,False,6,48.16386639754614,14,112.38235492760765,387,3106.569382641726,819,6574.367763265048,1328,10660.269095990212
2000,1,0.0613000823227926,3152,244.8305084745763,-80.75,1.4646963,24.147972,0.24287926,False,30,489.3957538592962,66,1076.6706584904516,190,3099.506441108876,304,4959.2103057742015,470,7667.2001437956405
1891,1,0.0623975519310804,2759,230.2980625931446,21.5,1.2656521,24.17079,0.05534322,False,19,304.49912555841865,36,576.9457115843721,193,3093.0700648828843,366,5865.614734441117,575,9215.105115583723
1616,1,0.0624528733307854,3174,200.653685674548,-3.75,1.5197896,24.33427,0.036102045,False,25,400.3018382770957,54,864.6519706785267,192,3074.318117968095,335,5364.044632913083,533,8534.43519206768
2164,2,0.1233760504882284,9185,294.42312786672886,-79.37494034962313,1.5343803,24.910964,0.42049722,False,36,291.79082858901245,72,583.5816571780249,379,3071.90900097877,645,5227.919012219806,983,7967.510680638868
2468,1,0.062336465372985,2262,336.4147909967846,30.5,1.4355913,24.24649,0.0635943,False,62,994.6024310013122,106,1700.4493175183725,191,3064.0171664717845,357,5726.98496560433,531,8518.288562285432
1214,1,0.0623504539712311,2840,150.1976935749588,32.75,1.7164251,23.980751,0.01596206,False,2,32.07675121215337,6,96.2302536364601,191,3063.3297407606465,382,6126.659481521293,574,9206.027597888016
1873,1,0.0623564281927813,2303,227.2058823529412,-32.0,1.4682324,23.968763,0.22977443,False,4,64.14735602933493,11,176.40522908067103,190,3046.999411393409,369,5917.593593706147,535,8579.708868923546
168,1,0.0623960568143419,3225,15.0,13.25,1.3071737,24.198536,0.055146456,False,5,80.13326891597318,9,144.23988404875172,190,3045.064218806981,350,5609.328824118123,542,8686.446350491493
