region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
1686,1,0.0624338284246973,3595,203.2867132867133,-7.25,1.472363,24.203749,0.035188287,False,127,2034.1536504233,190,3043.2219966962753,274,4388.646458393576,464,7431.8684550898515,688,11019.667019615987
801,1,0.0623933497273629,5446,71.71875,-37.0,1.3080143,25.257576,0.010247966,False,2,32.05469827696862,6,96.16409483090585,224,3590.1262070204853,461,7388.6079528412665,685,10978.734159861751
2480,1,0.0624210742473185,2582,338.4603658536585,24.5,2.0040545,23.896513,0.04398174,False,87,1393.7600569848792,152,2435.0750420885242,237,3796.7946379932914,450,7209.103743025236,734,11758.849216401164
319,1,0.0610639688832804,5075,28.06451612903226,-82.75,1.3240547,24.8944,0.15393505,False,3,49.12880795112245,10,163.76269317040817,228,3733.789404285306,428,7009.043267693469,646,10579.069978808368
32,2,0.1247128563855411,11573,3.8235294117647056,-32.0,1.0371644999999998,25.18686,0.014434579,False,234,1876.31016385837,334,2678.152114225195,504,4041.2834298487974,841,6743.490802584997,1387,11121.54785158786
842,1,0.0619070947502662,10047,74.67032967032966,-75.5,1.2144966,25.186691,0.12050748,False,10,161.5323742834338,29,468.44388542195804,188,3036.808636528556,416,6719.746770190846,723,11678.790660692264
2062,1,0.0607951573543594,4713,251.3793103448276,-83.25,1.924755,24.93038,0.15301608,False,21,345.4222493018051,47,773.0878912945161,194,3191.0436364071516,406,6678.163486501565,638,10494.256907359602
854,1,0.0624344181520105,2557,76.48122392211404,-4.0,1.1945326,23.620756,0.19323263,False,89,1425.4957863675397,132,2114.2184696687104,263,4212.420132749022,416,6662.991540774118,590,9449.9158871556
2434,2,0.1245747164580975,11251,334.8181148538693,-45.37509315729789,1.3992931,25.0592555,0.015373917,False,6,48.16386639754614,14,112.38235492760765,387,3106.569382641726,819,6574.367763265048,1328,10660.269095990212
2603,1,0.0624242432176639,1779,353.3783783783784,22.5,1.4929954,24.076496,0.06282273,False,74,1185.4368781368032,122,1954.3689071985134,227,3636.4077207710043,410,6567.961081568775,613,9819.902787808924
1688,1,0.060338543267931,5874,203.5384615384615,-85.0,1.3215595,25.275742,0.29700086,False,9,149.1583905172494,28,464.0483260536647,232,3844.9718444446503,391,6480.1034102493895,570,9446.69806609246
2176,1,0.0621546468268578,3495,297.0994475138122,-60.0,1.4264445,24.209415,0.09861019,False,13,209.15572147346734,35,563.1115578131813,184,2960.357903932153,400,6435.560660722072,635,10216.45254889629
2573,2,0.1247580876444614,4816,349.98454404945903,26.25,1.2835609,24.2799835,0.085506585,False,197,1579.0559451457395,298,2388.6226987483774,455,3647.058147417825,798,6396.378904702031,1214,9730.83206805547
13,1,0.0624068205088684,3887,1.650211565585332,-10.5,1.3418132,24.313662,0.04335966,False,3,48.071668698034074,12,192.2866747921363,205,3284.8973610323283,398,6377.50804727252,596,9550.23818134277
