name,ra,dec,zlens,type,grading,ref
DESI-000.0254+21.6415,0.02542,21.6415,0.502973,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.0369+21.2841,0.03692,21.2841,0.357,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.0611-05.9508,0.06112,-5.95079,0.637,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.1063-03.9559,0.10629,-3.95586,0.86,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.1963+28.2100,0.19625,28.21003,0.415,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2017-46.0549,0.20167,-46.05489,0.339,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2512-10.3396,0.25117,-10.33961,0.687,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2544-00.5579,0.25442,-0.55785,0.5728,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2616-37.3243,0.26158,-37.32427,0.451,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.2881-10.5619,0.28808,-10.5619,0.437964,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.3685-57.8585,0.36854,-57.85849,0.73,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023
DESI-000.3785-13.3998,0.37854,-13.39983,0.612,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.4022-04.0111,0.40221,-4.0111,0.723671,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.5014-46.7212,0.49929,-46.7225,0.538,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.5290-37.6745,0.52896,-37.67453,0.5,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Rojas et al. (2021) - arXiv:2109.00014
DESI-000.6943+27.0894,0.69429,27.0894,0.584073,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-000.7092-55.6288,0.70917,-55.62876,0.422,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.7487-62.6672,0.74862,-62.66717,0.452,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023 | Rojas et al. (2021) - arXiv:2109.00014
DESI-000.9144-58.9550,0.91446,-58.95499,0.644,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-000.9962-14.4253,0.99617,-14.42531,0.744,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.0157-45.8875,1.01571,-45.88747,0.379,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.0940-57.9686,1.09121,-57.9693,0.31,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.1051-60.0972,1.10508,-60.0972,0.752,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.1455-42.5329,1.1455,-42.53289,0.818,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.2277-64.3865,1.228,-64.38628,0.513,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-001.2742-54.2626,1.27421,-54.2626,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.4064-11.8886,1.40642,-11.88865,0.214,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4214-35.9756,1.42146,-35.97555,0.094,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4294-50.9162,1.42942,-50.91617,0.416,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.4446+15.8147,1.44458,15.8147,0.214104,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.4858-09.6577,1.48579,-9.65773,0.401,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.6700-33.3976,1.67002,-33.39763,0.239,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M | Petrillo et al. (2018) - arXiv:1812.03168
DESI-001.6798+05.0237,1.67979,5.0237,0.432313,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.7036-11.2181,1.70358,-11.2181,0.28624,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.8280+01.5349,1.828,1.5349,0.32167,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-001.8615-33.7013,1.8615,-33.70133,0.593,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9120-40.9764,1.91204,-40.9764,0.715,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9817-36.6550,1.98175,-36.65504,0.331,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-001.9844-04.9318,1.98471,-4.9329,0.441,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-002.0299+18.3723,2.02992,18.3723,0.472426,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730
DESI-002.0671-32.6207,2.06689,-32.62088,0.26,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-002.0769-06.3760,2.07692,-6.376,0.58902,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-002.1296-35.6231,2.12958,-35.62312,0.731,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
