thetaE,psf_fwhm,depth,n,k,completeness,ci68_lo,ci68_hi,sufficient
0.5,0.9,22.5,0,0,,,,False
0.5,0.9,23.0,0,0,,,,False
0.5,0.9,23.5,0,0,,,,False
0.5,0.9,24.0,200,151,0.755,0.7235521857898317,0.7839238585680877,True
0.5,0.9,24.5,200,36,0.18,0.15460412965285295,0.2085635105689902,True
0.5,1.05,22.5,0,0,,,,False
0.5,1.05,23.0,200,107,0.535,0.4998403517361137,0.5698132589457661,True
0.5,1.05,23.5,0,0,,,,False
0.5,1.05,24.0,200,60,0.3,0.2688353619518023,0.33314411570835306,True
0.5,1.05,24.5,200,43,0.215,0.18757055704090206,0.24525044385940756,True
0.5,1.2,22.5,0,0,,,,False
0.5,1.2,23.0,0,0,,,,False
0.5,1.2,23.5,200,62,0.31,0.27848983653885667,0.3433906550116882,True
0.5,1.2,24.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
0.5,1.2,24.5,200,82,0.41,0.37594409032162096,0.44494663270303375,True
0.5,1.35,22.5,0,0,,,,False
0.5,1.35,23.0,0,0,,,,False
0.5,1.35,23.5,200,114,0.57,0.5349256643183776,0.6043815539121822,True
0.5,1.35,24.0,200,89,0.445,0.4104120870695329,0.4801322401984794,True
0.5,1.35,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.5,22.5,0,0,,,,False
0.5,1.5,23.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
0.5,1.5,23.5,200,84,0.42,0.3857739997217082,0.45501775236434866,True
0.5,1.5,24.0,200,85,0.425,0.39069441455210463,0.4600478523035554,True
0.5,1.5,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.65,22.5,200,0,0.0,0.0001017699639659842,0.0049172675609372,True
0.5,1.65,23.0,0,0,,,,False
0.5,1.65,23.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
0.5,1.65,24.0,200,89,0.445,0.4104120870695329,0.4801322401984794,True
0.5,1.65,24.5,200,88,0.44,0.40547729653379433,0.4751165154523302,True
0.5,1.8,22.5,0,0,,,,False
0.5,1.8,23.0,0,0,,,,False
0.5,1.8,23.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
0.5,1.8,24.0,200,91,0.455,0.42029233658645454,0.4901530215416837,True
0.5,1.8,24.5,200,80,0.4,0.36612887097542435,0.43486082370393114,True
0.75,0.9,22.5,0,0,,,,False
0.75,0.9,23.0,0,0,,,,False
0.75,0.9,23.5,0,0,,,,False
0.75,0.9,24.0,200,170,0.85,0.8231809635096012,0.87335415509375,True
0.75,0.9,24.5,200,56,0.28,0.24958140528016914,0.3125960524848521,True
0.75,1.05,22.5,0,0,,,,False
0.75,1.05,23.0,200,93,0.465,0.4301867410542339,0.5001596482638864,True
0.75,1.05,23.5,0,0,,,,False
0.75,1.05,24.0,200,83,0.415,0.3808572188174612,0.4499840186544027,True
0.75,1.05,24.5,200,64,0.32,0.28816196837461655,0.35361953932850876,True
0.75,1.2,22.5,0,0,,,,False
0.75,1.2,23.0,0,0,,,,False
0.75,1.2,23.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
0.75,1.2,24.0,200,84,0.42,0.3857739997217082,0.45501775236434866,True
0.75,1.2,24.5,200,71,0.355,0.32214738871168064,0.3892876901632395,True
0.75,1.35,22.5,0,0,,,,False
0.75,1.35,23.0,0,0,,,,False
